CZAS;Benzen;Dwutlenek azotu;Pył zawieszony PM10;Pył zawieszony PM2.5;Tlenek azotu;Tlenek węgla;Tlenek węgla;Tlenki azotu
23:00;8.4061;36.0415;153.108;88.3977;66.5656;1276.95;1172.78;138.149
00:00;8.53431;34.7114;131.28;76.235;45.9045;1121.7;1183.57;105.13
01:00;8.46503;31.5512;124.671;72.3643;34.1955;1115.44;1200.36;83.8
02:00;8.45984;27.7778;118.95;71.5879;20.6967;1117.88;1241.67;59.4
03:00;8.85308;25.3728;111.735;70.1386;17.5754;1164.87;1321.06;52.3
04:00;9.60016;26.1295;119.761;72.3326;28.2771;1239.82;1407.54;69.3
05:00;9.57615;33.0253;110.575;69.5271;50.3774;1248.35;1500.55;110
06:00;9.59756;43.0175;100.881;66.3148;110.659;1317.89;1584.36;212.1
07:00;10.0731;47.7952;107.937;72.3179;156.405;1607.43;1687.77;286.8
08:00;10.3358;54.5338;102.386;70.6924;177.444;1756.79;1844.21;325.6
09:00;10.7271;59.4348;85.1756;71.0776;232.335;1807.27;2031.42;414.4
10:00;11.1274;60.0491;93.726;78.0441;235.442;1861.99;2188.37;419.7
11:00;11.2351;60.9136;96.084;79.631;214.019;1835.34;2315.5;387.9
12:00;11.7061;72.3645;104.995;85.4834;282.904;2067.1;2355.36;504.7
13:00;12.916;99.1508;127.603;99.4644;365.998;2499.85;2346.55;658.5
14:00;14.8538;108.03;185.867;128.216;411.062;2815.63;2335.6;736.2
15:00;16.6747;102.28;195.692;142.783;409.848;2862.99;2314;728.5
16:00;14.7424;95.7866;153.482;117.292;400.223;2773.82;2204.83;707.3
17:00;12.9575;79.643;112.454;88.695;283.12;2126.19;2038.22;512.2
18:00;11.1854;68.1591;107.71;87.3739;233.918;1791.49;1919.15;425.6
19:00;10.0381;73.5028;95.2524;73.5267;270.739;1747.72;1837.28;487.1
